Coverage,Variant_Count_Exon,Variant_Count_CDS,Nucleotide_Count_Exon,Nucleotide_Count_CDS
1,418,134,1578814,220513
2,162,50,861133,424727
3,348,56,1447490,317387
4,83,42,1214307,279399
5,391,44,1185052,337775
6,332,83,1117613,531273
7,791,57,1855219,337216
8,1747,21,2236419,180008
9,310,158,1653643,548169
10,448,11,1596393,312375
11,2458,215,3888603,364082
12,412,209,2183607,619216
13,555,104,1588653,608256
14,1109,250,5543716,453904
15,1429,31,4064329,252608
16,1427,502,2725194,899774
17,2233,257,4935788,632833
18,2113,85,6634395,270013
19,1647,151,3472014,655515
20,1639,643,4622250,1082842
21,2479,269,6421991,1518734
22,2639,571,5518649,791797
23,1646,510,6225755,1008536
24,1728,518,6469635,1091132
25,2350,579,7608524,2051544
26,3541,1022,7800972,2003422
27,4093,303,11835960,1365629
28,4513,595,10423323,1807707
29,6121,909,11915868,1429245
30,5630,1820,14135760,3561367
31,6134,1415,17189334,4556052
32,7965,1191,14417912,3055312
33,3759,3581,14184886,5958647
34,8074,1460,17481941,3525738
35,8992,1838,20501412,4341928
36,9612,2767,23318752,4399545
37,10277,1618,25823048,5624309
38,9111,3807,28590302,9948688
39,10116,2370,25652584,6843330
40,16615,4113,32660108,10554561
41,16194,4387,36816431,10393806
42,14099,5316,35475163,14416637
43,17883,7182,41231051,16758519
44,20073,7857,48096950,19444526
45,15500,9206,38111643,25777757
46,14493,10728,40271964,22171996
47,13445,12531,40577696,25815202
48,19285,11375,39881082,29541804
49,14644,13074,36086915,31722220
50,18265,13409,41102456,33963995
51,15144,16973,42430934,41446497
52,12497,21219,33074675,42972614
53,10207,15977,27677976,42311296
54,11546,17548,27015649,43803745
55,10852,15920,21747151,37315445
56,12777,17870,24386585,47675593
57,8554,15505,19503418,53493533
58,4409,15486,13746872,37301105
59,6544,18209,13969144,43100234
60,6593,19810,11891648,39531006
61,1920,17370,9630949,38813991
62,4072,21754,10396398,37459831
63,5299,13295,9593840,28728803
64,3544,9995,8944824,26320166
65,2391,8083,6199115,21312721
66,3128,7395,5839012,16859244
67,3249,4664,7856742,12820463
68,2574,4834,9635538,15245616
69,1724,5208,5103459,13863486
70,2630,2977,7996611,11942815
71,1994,3328,7802472,10363877
72,2039,5081,4425689,10118397
73,3547,5791,6127543,11804539
74,2290,2261,5585707,8005869
75,1956,4385,5918904,11927400
76,2325,2837,3513083,10945393
77,791,2472,3373983,7522702
78,2560,6448,3261341,12388046
79,1533,2375,3568230,14334756
80,794,4895,1433324,12591317
81,1090,3726,1289135,8646912
82,357,5072,1122280,9371145
83,419,2187,557737,7741736
84,113,4046,132733,8488681
85,70,1403,117609,3936321
86,122,1147,107805,3644099
87,205,1340,85255,2203918
88,0,1761,65446,1762510
89,8,318,11261,758079
90,2,161,5714,707778
91,0,21,25391,346771
92,0,194,3855,128821
93,0,278,2570,460761
94,0,134,951,79289
95,0,20,0,21541
96,0,0,1047,15606
97,0,0,924,5777
98,0,0,0,898
99,0,0,0,515
100,0,0,0,0
