gene_name,gene_id_x,transcript_id,biotype,gene_id_y,exon_coverage,CDS_coverage
RGPD6,ENSG00000183054,ENST00000329516,transcript,ENSG00000183054,0.125962152,0.252902908
AC021860.1,ENSG00000196355,ENST00000436901,transcript,ENSG00000196355,0.130493348,5.67252463
DAZ2,ENSG00000205944,ENST00000382440,transcript,ENSG00000205944,0.1528257,0.158115978
RBMY1A1,ENSG00000234414,ENST00000382707,transcript,ENSG00000234414,0.159967213,0.150346747
USP17L5,ENSG00000227140,ENST00000507227,transcript,ENSG00000227140,0.185566403,0.185876528
TSPY8,ENSG00000229549,ENST00000330628,transcript,ENSG00000229549,0.219652967,0.413599387
USP17L13,ENSG00000232399,ENST00000429667,transcript,ENSG00000232399,0.257897601,0.258090725
RBMY1J,ENSG00000226941,ENST00000250831,transcript,ENSG00000226941,0.289819857,0.293712809
RP11-347C12.1,ENSG00000198064,ENST00000520915,transcript,ENSG00000198064,0.300979868,0.421913196
AL353698.1,ENSG00000233889,ENST00000433279,transcript,ENSG00000233889,0.368322591,1.760549733
TRNP1,ENSG00000253368,ENST00000522111,transcript,ENSG00000253368,0.371534371,0.882809939
ZNF705D,ENSG00000215343,ENST00000400085,transcript,ENSG00000215343,0.384324748,1.502214601
TRIM49D1,ENSG00000223417,ENST00000530311,transcript,ENSG00000223417,0.415259959,0.733968374
MTRNR2L13,ENSG00000270394,ENST00000604093,transcript,ENSG00000270394,0.419518073,2.954208333
HRK,ENSG00000135116,ENST00000257572,transcript,ENSG00000135116,0.432990179,3.052803894
PRAMEF15,ENSG00000157358,ENST00000330087,transcript,ENSG00000157358,0.469343758,0.626783978
GRAPL,ENSG00000189152,ENST00000344415,transcript,ENSG00000189152,0.496213725,0.599324451
USP17L17,ENSG00000249104,ENST00000511568,transcript,ENSG00000249104,0.498541182,0.499481826
KBTBD11,ENSG00000176595,ENST00000320248,transcript,ENSG00000176595,0.514339779,9.03843046
RP11-1026M7.2,ENSG00000249109,ENST00000502515,transcript,ENSG00000249109,0.523145552,8.268080502
RP11-826N14.2,ENSG00000248469,ENST00000512675,transcript,ENSG00000248469,0.526435368,7.140471053
TSPY10,ENSG00000236424,ENST00000428845,transcript,ENSG00000236424,0.541834662,0.736814233
ZNF664,ENSG00000179195,ENST00000539644,transcript,ENSG00000179195,0.609187455,84.0888659
RBMY1E,ENSG00000242389,ENST00000382659,transcript,ENSG00000242389,0.672272494,0.870299917
CT45A6,ENSG00000226907,ENST00000491002,transcript,ENSG00000226907,0.674931799,0.849784241
RBMY1F,ENSG00000169800,ENST00000303766,transcript,ENSG00000169800,0.675062086,0.688588298
RP11-863K10.7,ENSG00000183154,ENST00000330539,transcript,ENSG00000183154,0.717937037,25.01823756
PNMA2,ENSG00000240694,ENST00000522362,transcript,ENSG00000240694,0.736809155,37.6152494
C3orf80,ENSG00000180044,ENST00000326474,transcript,ENSG00000180044,0.745267676,10.07519136
AC107021.1,ENSG00000232013,ENST00000422482,transcript,ENSG00000232013,0.759819997,25.71090556
MARVELD1,ENSG00000155254,ENST00000285605,transcript,ENSG00000155254,0.765076917,35.45953989
DEFB130,ENSG00000233050,ENST00000437818,transcript,ENSG00000233050,0.799683336,0.800038401
PNRC2,ENSG00000189266,ENST00000334351,transcript,ENSG00000189266,0.81109701,2.288808339
ZNF605,ENSG00000196458,ENST00000392321,transcript,ENSG00000196458,0.845862943,6.783093798
MTRNR2L5,ENSG00000249860,ENST00000512524,transcript,ENSG00000249860,0.848474123,10.17627222
MAGEA9B,ENSG00000123584,ENST00000243314,transcript,ENSG00000123584,0.856524298,3.721500608
KIAA0040,ENSG00000235750,ENST00000545251,transcript,ENSG00000235750,0.863163099,36.87876094
FUT9,ENSG00000172461,ENST00000302103,transcript,ENSG00000172461,0.866200936,58.58033055
FAM110B,ENSG00000169122,ENST00000361488,transcript,ENSG00000169122,0.876126533,65.31633514
TBC1D3G,ENSG00000161583,ENST00000341264,transcript,ENSG00000161583,0.911179232,0.810500498
MTRNR2L3,ENSG00000256222,ENST00000543500,transcript,ENSG00000256222,0.942104049,8.886795833
ANKRD20A3,ENSG00000132498,ENST00000254835,transcript,ENSG00000132498,0.957447731,0.980645423
SPACA5B,ENSG00000171478,ENST00000304270,transcript,ENSG00000171478,0.962261852,0.967418995
ELFN2,ENSG00000166897,ENST00000402918,transcript,ENSG00000166897,0.965110828,68.30079756
AC104057.1,ENSG00000269558,ENST00000593865,transcript,ENSG00000269558,1.005514382,1.554123509
SRSF10,ENSG00000188529,ENST00000492112,transcript,ENSG00000188529,1.031301882,0.977763885
AC079341.1,ENSG00000226757,ENST00000424958,transcript,ENSG00000226757,1.060988882,46.93374074
ANXA8L1,ENSG00000150165,ENST00000359178,transcript,ENSG00000150165,1.062758432,3.868814023
AC068987.1,ENSG00000260415,ENST00000599343,transcript,ENSG00000260415,1.086732216,7.883384533
GREM2,ENSG00000180875,ENST00000318160,transcript,ENSG00000180875,1.105574174,63.48733135
AL592284.1,ENSG00000231360,ENST00000538264,transcript,ENSG00000231360,1.112915051,5.864662852
AP006621.5,ENSG00000255284,ENST00000530083,transcript,ENSG00000255284,1.115126583,16.98810394
NBPF11,ENSG00000152042,ENST00000605317,transcript,ENSG00000152042,1.118918296,2.021738387
ANKRD20A2,ENSG00000183148,ENST00000377601,transcript,ENSG00000183148,1.135411749,2.112453839
SFT2D3,ENSG00000173349,ENST00000310981,transcript,ENSG00000173349,1.145231133,4.629174419
NHLRC4,ENSG00000257108,ENST00000424439,transcript,ENSG00000257108,1.15236759,38.33422493
NPIPB5,ENSG00000243716,ENST00000424340,transcript,ENSG00000243716,1.15441495,1.878292344
ZNF146,ENSG00000167635,ENST00000456324,transcript,ENSG00000167635,1.156182833,74.78996119
MTRNR2L4,ENSG00000232196,ENST00000399974,transcript,ENSG00000232196,1.157689927,9.368917857
PGA4,ENSG00000229183,ENST00000378149,transcript,ENSG00000229183,1.158250284,1.624023105
TLX1NB,ENSG00000236311,ENST00000445873,transcript,ENSG00000236311,1.159703788,12.11929426
MAGED4,ENSG00000154545,ENST00000375626,transcript,ENSG00000154545,1.171783198,1.306705892
MTRNR2L7,ENSG00000256892,ENST00000544824,transcript,ENSG00000256892,1.18923581,12.51965278
CDC42EP5,ENSG00000167617,ENST00000301200,transcript,ENSG00000167617,1.192007996,6.594685968
C4orf32,ENSG00000174749,ENST00000309733,transcript,ENSG00000174749,1.202499277,38.55776085
