gene_name,gene_id_x,transcript_id,biotype,gene_id_y,exon_coverage,CDS_coverage
USP17L5,ENSG00000227140,ENST00000507227,transcript,ENSG00000227140,0.007750015,0.007761567
USP17L13,ENSG00000232399,ENST00000429667,transcript,ENSG00000232399,0.242056277,0.242537464
RGPD6,ENSG00000183054,ENST00000329516,transcript,ENSG00000183054,0.132744304,0.283200815
MAGED4,ENSG00000154545,ENST00000375626,transcript,ENSG00000154545,1.403111819,0.665204509
NPIPB5,ENSG00000243716,ENST00000424340,transcript,ENSG00000243716,0.636097813,0.718096288
PRAMEF15,ENSG00000157358,ENST00000330087,transcript,ENSG00000157358,0.538491818,0.719829671
AMY1B,ENSG00000174876,ENST00000330330,transcript,ENSG00000174876,0.64861588,0.772808982
DEFB105B,ENSG00000186599,ENST00000335510,transcript,ENSG00000186599,0.835011114,0.843456066
PRAMEF3,ENSG00000204503,ENST00000376173,transcript,ENSG00000204503,1.105203829,0.872820163
EIF3CL,ENSG00000205609,ENST00000398943,transcript,ENSG00000205609,0.94528727,0.947494389
SPACA5B,ENSG00000171478,ENST00000304270,transcript,ENSG00000171478,0.991882261,0.978381781
GRAPL,ENSG00000189152,ENST00000344415,transcript,ENSG00000189152,1.32768519,1.053895197
AGAP10,ENSG00000204172,ENST00000413193,transcript,ENSG00000204172,0.75625219,1.206911541
DEFB130,ENSG00000233050,ENST00000437818,transcript,ENSG00000233050,1.264020738,1.264777603
RPS17,ENSG00000184779,ENST00000330339,transcript,ENSG00000184779,1.354614506,1.295081484
KM-PA-2,ENSG00000204775,ENST00000377412,transcript,ENSG00000204775,1.312671493,1.312000558
GOLGA6L10,ENSG00000205281,ENST00000439287,transcript,ENSG00000205281,1.141799386,1.377738952
SSX4,ENSG00000204645,ENST00000376886,transcript,ENSG00000204645,2.571293419,1.473128252
NPIPB3,ENSG00000169246,ENST00000458643,transcript,ENSG00000169246,1.237598472,1.505393675
NBPF11,ENSG00000152042,ENST00000605317,transcript,ENSG00000152042,1.103326493,1.636978469
SPACA5,ENSG00000171489,ENST00000304355,transcript,ENSG00000171489,3.590927626,1.644921518
ANXA8L1,ENSG00000150165,ENST00000359178,transcript,ENSG00000150165,1.13121767,1.789595838
RP11-347C12.1,ENSG00000198064,ENST00000520915,transcript,ENSG00000198064,1.169743882,1.812879547
PGA4,ENSG00000229183,ENST00000378149,transcript,ENSG00000229183,1.804167523,1.991368355
CT45A6,ENSG00000226907,ENST00000491002,transcript,ENSG00000226907,2.817708265,2.006664594
PABPC1L2A,ENSG00000186288,ENST00000373519,transcript,ENSG00000186288,5.995719949,2.07426155
AMY1A,ENSG00000237763,ENST00000370083,transcript,ENSG00000237763,1.446337756,2.075844444
ZNF140,ENSG00000196387,ENST00000355557,transcript,ENSG00000196387,2.613388598,2.103570584
NPIPA2,ENSG00000254852,ENST00000553201,transcript,ENSG00000254852,2.135901682,2.132843324
GAGE2B,ENSG00000231850,ENST00000381725,transcript,ENSG00000231850,2.001576823,2.309824655
TRIM49D1,ENSG00000223417,ENST00000530311,transcript,ENSG00000223417,6.122915059,2.313754326
RIMBP3B,ENSG00000196934,ENST00000434111,transcript,ENSG00000196934,2.136915252,2.323625697
SPATA31A1,ENSG00000204849,ENST00000377647,transcript,ENSG00000204849,3.010049756,2.333532206
GAGE13,ENSG00000237597,ENST00000381751,transcript,ENSG00000237597,1.946930448,2.357926113
RGPD1,ENSG00000187627,ENST00000559485,transcript,ENSG00000187627,3.432235052,2.400723999
PABPC1L2B,ENSG00000184388,ENST00000373521,transcript,ENSG00000184388,9.325897183,2.517518967
NBPF24,ENSG00000203836,ENST00000369228,transcript,ENSG00000203836,2.508743744,2.574102926
RP13-996F3.4,ENSG00000259243,ENST00000557886,transcript,ENSG00000259243,2.207448228,2.601178741
PRAMEF19,ENSG00000204480,ENST00000540591,transcript,ENSG00000204480,1.926848961,2.607154939
GATSL2,ENSG00000198750,ENST00000426327,transcript,ENSG00000198750,2.931409114,2.656818957
SRSF10,ENSG00000188529,ENST00000492112,transcript,ENSG00000188529,2.680665896,2.785428757
ZNF705D,ENSG00000215343,ENST00000400085,transcript,ENSG00000215343,3.452337937,2.78878918
PRAMEF13,ENSG00000204495,ENST00000376132,transcript,ENSG00000204495,2.803518864,2.793830456
SMN2,ENSG00000205571,ENST00000380743,transcript,ENSG00000205571,3.196291262,2.868170025
AGAP8,ENSG00000174194,ENST00000425119,transcript,ENSG00000174194,2.721452814,2.895582803
PRAMEF16,ENSG00000204488,ENST00000376121,transcript,ENSG00000204488,2.629513987,2.936084279
FAM90A26,ENSG00000229924,ENST00000512047,transcript,ENSG00000229924,3.178118421,2.939205695
SPDYE2B,ENSG00000173678,ENST00000507450,transcript,ENSG00000173678,3.420408737,2.99719788
MRC1,ENSG00000120586,ENST00000239761,transcript,ENSG00000120586,3.291669648,3.020497564
TBC1D3G,ENSG00000161583,ENST00000341264,transcript,ENSG00000161583,3.967627336,3.083033802
USP17L10,ENSG00000231396,ENST00000417945,transcript,ENSG00000231396,3.131326781,3.131481189
MAGEA9B,ENSG00000123584,ENST00000243314,transcript,ENSG00000123584,5.94371679,3.1658333
ANKRD20A3,ENSG00000132498,ENST00000254835,transcript,ENSG00000132498,3.283974459,3.294671217
NPIPA7,ENSG00000214967,ENST00000530217,transcript,ENSG00000214967,3.720555399,3.303998651
EIF3C,ENSG00000184110,ENST00000331666,transcript,ENSG00000184110,3.190509168,3.358450042
SSX4B,ENSG00000198946,ENST00000376884,transcript,ENSG00000198946,3.209445008,3.406756496
NBPF16,ENSG00000203827,ENST00000417839,transcript,ENSG00000203827,3.082453429,3.462586361
F8A1,ENSG00000197932,ENST00000369446,transcript,ENSG00000197932,11.40260682,3.465099441
PTPN20A,ENSG00000204179,ENST00000374339,transcript,ENSG00000204179,3.471324675,3.478993549
NXF2,ENSG00000185554,ENST00000395088,transcript,ENSG00000185554,3.053957404,3.517744082
NPIPA8,ENSG00000214940,ENST00000525596,transcript,ENSG00000214940,2.714861161,3.556329064
NPIPB9,ENSG00000196993,ENST00000550983,transcript,ENSG00000196993,3.192648418,3.596472019
GAGE2D,ENSG00000240257,ENST00000404720,transcript,ENSG00000240257,2.818426618,3.707277249
SMN1,ENSG00000172062,ENST00000380707,transcript,ENSG00000172062,3.700889141,3.723695765
SULT1A4,ENSG00000213648,ENST00000395400,transcript,ENSG00000213648,4.832902596,3.726537003
NPIPB8,ENSG00000255524,ENST00000529716,transcript,ENSG00000255524,4.230916977,3.840270985
GAGE12H,ENSG00000224902,ENST00000381722,transcript,ENSG00000224902,3.088266171,3.861352824
PRAMEF18,ENSG00000204491,ENST00000376126,transcript,ENSG00000204491,3.873180778,3.885203503
PRAMEF14,ENSG00000204481,ENST00000334600,transcript,ENSG00000204481,1.346491156,3.936796823
GOLGA8B,ENSG00000215252,ENST00000267731,transcript,ENSG00000215252,7.794798382,3.943971037
AGAP4,ENSG00000188234,ENST00000448048,transcript,ENSG00000188234,4.192178805,4.013350321
SULT1A3,ENSG00000261052,ENST00000395137,transcript,ENSG00000261052,4.771526104,4.072628965
BOP1,ENSG00000170727,ENST00000307404,transcript,ENSG00000170727,5.221078603,4.132825322
OR2T29,ENSG00000182783,ENST00000328570,transcript,ENSG00000182783,4.026411547,4.136809036
RGPD2,ENSG00000185304,ENST00000398146,transcript,ENSG00000185304,5.696683626,4.193732467
GOLGA8G,ENSG00000183629,ENST00000525590,transcript,ENSG00000183629,4.87113182,4.319880455
C4A,ENSG00000244731,ENST00000428956,transcript,ENSG00000244731,3.549522502,4.41520302
PLGLB1,ENSG00000183281,ENST00000355705,transcript,ENSG00000183281,4.87720275,4.415781374
RP13-996F3.5,ENSG00000215749,ENST00000559949,transcript,ENSG00000215749,4.464185377,4.532923263
OR2T5,ENSG00000203661,ENST00000366473,transcript,ENSG00000203661,4.360455388,4.604405287
USP17L17,ENSG00000249104,ENST00000511568,transcript,ENSG00000249104,4.658556817,4.667346547
C4B,ENSG00000224389,ENST00000435363,transcript,ENSG00000224389,2.895548605,4.70541772
PTPN20B,ENSG00000183675,ENST00000374233,transcript,ENSG00000183675,5.049906795,4.730652145
RHOXF2B,ENSG00000203989,ENST00000371402,transcript,ENSG00000203989,4.441130218,4.742400907
MBD3L4,ENSG00000205718,ENST00000381394,transcript,ENSG00000205718,5.349246619,4.757952266
DEFB107B,ENSG00000198129,ENST00000355602,transcript,ENSG00000198129,5.857393109,4.766765
ANKRD20A2,ENSG00000183148,ENST00000377601,transcript,ENSG00000183148,3.506180444,4.808389323
AMY1C,ENSG00000187733,ENST00000370079,transcript,ENSG00000187733,4.894998441,4.829080169
FAM21B,ENSG00000152726,ENST00000358474,transcript,ENSG00000152726,4.750965298,4.860234673
FAM203A,ENSG00000235173,ENST00000347708,transcript,ENSG00000235173,6.586063648,4.90667797
CCL3L3,ENSG00000256515,ENST00000378354,transcript,ENSG00000256515,6.068956399,5.081097855
GOLGA8F,ENSG00000153684,ENST00000532622,transcript,ENSG00000153684,3.944911286,5.091441008
SPDYE2,ENSG00000205238,ENST00000507918,transcript,ENSG00000205238,12.26724909,5.118616931
NBPF12,ENSG00000186275,ENST00000442909,transcript,ENSG00000186275,4.943705274,5.127593943
PRAMEF20,ENSG00000204478,ENST00000316412,transcript,ENSG00000204478,5.931138941,5.138768061
AREGB,ENSG00000205595,ENST00000380846,transcript,ENSG00000205595,5.582284611,5.274153567
