gene_name,gene_id_x,transcript_id,gene_id_y,exon_coverage,CDS_coverage,MIM Entry Type (see FAQ 1.3 at https://omim.org/help/faq),Ensembl Gene ID (Ensembl),MIM Number,Preferred Title; symbol,Alternative Title(s); symbol(s),Included Title(s); symbols,Phenotype,Gene Symbols_x,# Chromosome,Gene Symbols_y,Gene Name,Entrez Gene ID,Ensembl Gene ID,Phenotypes,start,end
RBMY1A1,ENSG00000234414,ENST00000382707,ENSG00000234414,0.159967213,0.150346747,gene,ENSG00000234414,400006.0,"RNA-BINDING MOTIF PROTEIN, Y CHROMOSOME, FAMILY 1, MEMBER A1; RBMY1A1",RBMY;; RNA-BINDING MOTIF PROTEIN 1; RBM1;; RNA-BINDING MOTIF PROTEIN 2; RBM2;; Y CHROMOSOME RNA RECOGNITION MOTIF 1; YRRM1;; Y CHROMOSOME RNA RECOGNITION MOTIF 2; YRRM2,,,,chrY,"RBMY1A1, RBM1, YRRM1, RBM2","RNA binding motif protein, Y chromosome, family 1, member A1",5940.0,ENSG00000234414,,23696765.0,23711212.0
DAZ2,ENSG00000205944,ENST00000382440,ENSG00000205944,0.1528257,0.158115978,gene,ENSG00000205944,400026.0,DELETED IN AZOOSPERMIA 2; DAZ2,,,,,chrY,DAZ2,Deleted in azoospermia 2,57055.0,ENSG00000205944,,25365622.0,25437499.0
USP17L5,ENSG00000227140,ENST00000507227,ENSG00000227140,0.185566403,0.185876528,,,,,,,,,,,,,,,9341129.0,9342721.0
RGPD6,ENSG00000183054,ENST00000329516,ENSG00000183054,0.125962152,0.252902908,gene,ENSG00000183054,612709.0,RANBP2-LIKE AND GRIP DOMAIN-CONTAINING PROTEIN 6; RGPD6,RGP6,,,,chr2,"RGPD6, RGP6",RANBP2-like and GRIP domain-containing protein 6,729540.0,ENSG00000183054,,111271398.0,111334678.0
USP17L13,ENSG00000232399,ENST00000429667,ENSG00000232399,0.257897601,0.258090725,,,,,,,,,,,,,,,9226622.0,9228214.0
RBMY1J,ENSG00000226941,ENST00000250831,ENSG00000226941,0.289819857,0.293712809,,,,,,,,,,,,,,,24549617.0,24564028.0
TSPY8,ENSG00000229549,ENST00000330628,ENSG00000229549,0.219652967,0.413599387,,,,,,,,,,,,,,,9195452.0,9218479.0
RP11-347C12.1,ENSG00000198064,ENST00000520915,ENSG00000198064,0.300979868,0.421913196,,,,,,,,,,,,,,,30234258.0,30257122.0
USP17L17,ENSG00000249104,ENST00000511568,ENSG00000249104,0.498541182,0.499481826,,,,,,,,,,,,,,,9245605.0,9247197.0
GRAPL,ENSG00000189152,ENST00000344415,ENSG00000189152,0.496213725,0.599324451,,,,,,,,,,,,,,,19030782.0,19062489.0
PRAMEF15,ENSG00000157358,ENST00000330087,ENSG00000157358,0.469343758,0.626783978,,,,,,,,,,,,,,,13641973.0,13648988.0
RBMY1F,ENSG00000169800,ENST00000303766,ENSG00000169800,0.675062086,0.688588298,,,,,,,,,,,,,,,24314689.0,24329095.0
TRIM49D1,ENSG00000223417,ENST00000530311,ENSG00000223417,0.415259959,0.733968374,,,,,,,,,,,,,,,89644279.0,89654935.0
TSPY10,ENSG00000236424,ENST00000428845,ENSG00000236424,0.541834662,0.736814233,,,,,,,,,,,,,,,9365489.0,9368285.0
DEFB130,ENSG00000233050,ENST00000437818,ENSG00000233050,0.799683336,0.800038401,,,,,,,,,,,,,,,11921898.0,11929256.0
TBC1D3G,ENSG00000161583,ENST00000341264,ENSG00000161583,0.911179232,0.810500498,gene,ENSG00000260287,610810.0,"TBC1 DOMAIN FAMILY, MEMBER 3G; TBC1D3G",,,,,chr17,TBC1D3G,"TBC1 domain family, member 3G",101060321.0,ENSG00000260287,,34797172.0,34808103.0
CT45A6,ENSG00000226907,ENST00000491002,ENSG00000226907,0.674931799,0.849784241,gene,ENSG00000278289,300797.0,"CANCER/TESTIS ANTIGEN FAMILY 45, MEMBER A6; CT45A6","CANCER/TESTIS ANTIGEN 45, MEMBER 6; CT45.6",,,,chrX,"CT45A6, CT45.6","Cancer/testis antigen family 45, member A6",541465.0,ENSG00000278289,,134962849.0,134971244.0
RBMY1E,ENSG00000242389,ENST00000382659,ENSG00000242389,0.672272494,0.870299917,,,,,,,,,,,,,,,24049765.0,24064214.0
