gene_name,gene_id_x,transcript_id,exon_coverage,CDS_coverage,start,end,nucleotide_count,variant_count
DMD,ENSG00000198947,ENST00000357033,56,60,31137345,33229636,2092292,3722
ADARB2,ENSG00000185736,ENST00000381312,29,46,1228073,1779670,551598,2708
ERC1,ENSG00000082805,ENST00000397203,46,54,1100404,1605090,504687,2648
KCNIP4,ENSG00000185774,ENST00000382152,35,49,20730859,21950422,1219564,2431
PTPRD,ENSG00000153707,ENST00000381196,54,62,8314246,10033790,1719545,2314
CDH18,ENSG00000145526,ENST00000507958,40,60,19473157,20575982,1102826,2187
CDH12,ENSG00000154162,ENST00000382254,32,63,21751154,22853731,1102578,2011
SNTG2,ENSG00000172554,ENST00000308624,37,47,946554,1371385,424832,1943
PRKG1,ENSG00000185532,ENST00000373980,41,53,52833934,54058110,1224177,1900
NELL1,ENSG00000165973,ENST00000357134,50,62,20691118,21597005,905888,1849
IL1RAPL1,ENSG00000169306,ENST00000378993,43,62,28605516,29974840,1369325,1769
CSMD1,ENSG00000183117,ENST00000537824,44,45,2796107,4851938,2055832,1730
TM4SF2,ENSG00000250349,ENST00000465127,44,49,37208583,38546928,1338346,1712
CNTN6,ENSG00000134115,ENST00000446702,49,54,1134260,1445901,311642,1624
CTNND2,ENSG00000169862,ENST00000304623,55,59,10971952,11904155,932204,1528
MACROD2,ENSG00000172264,ENST00000217246,31,51,13976015,16033842,2057828,1526
CDKAL1,ENSG00000145996,ENST00000274695,36,51,20534688,21232635,697948,1470
PTPRT,ENSG00000196090,ENST00000373187,57,62,40701392,41818373,1116982,1442
GMDS,ENSG00000112699,ENST00000380815,41,55,1624041,2245926,621886,1402
SNX29,ENSG00000048471,ENST00000566228,41,49,12070595,12668146,597552,1185
SLC24A3,ENSG00000185052,ENST00000328041,28,57,19193290,19703581,510292,1179
TTC28,ENSG00000100154,ENST00000397906,18,33,28374004,29075853,701850,1168
SDK1,ENSG00000146555,ENST00000404826,52,56,3341080,4308632,967553,1164
FRMPD4,ENSG00000169933,ENST00000380682,34,50,12156585,12742642,586058,1163
ATP8A2,ENSG00000132932,ENST00000381655,48,52,25946209,26599989,653781,1148
LINGO2,ENSG00000174482,ENST00000379992,8,73,27948076,28670283,722208,1146
TIAM1,ENSG00000156299,ENST00000286827,51,63,32490734,32931290,440557,1135
CACNA2D3,ENSG00000157445,ENST00000474759,48,52,54156693,55108584,951892,1132
CACNA1C,ENSG00000151067,ENST00000347598,51,52,2162729,2800459,637731,1100
THRB,ENSG00000151090,ENST00000396671,48,81,24158651,24536266,377616,1091
MYT1L,ENSG00000186487,ENST00000428368,40,57,1795014,2334888,539875,1077
LPHN3,ENSG00000150471,ENST00000514591,48,51,62067860,62938184,870325,1053
MDGA2,ENSG00000272781,ENST00000439988,43,52,47311134,48143999,832866,1049
L3MBTL4,ENSG00000154655,ENST00000284898,41,55,5954706,6414910,460205,1023
ENOX1,ENSG00000120658,ENST00000261488,45,63,43787654,44361044,573391,1017
TBC1D5,ENSG00000131374,ENST00000446818,32,48,17202049,17741512,539464,1016
SOX6,ENSG00000110693,ENST00000396356,63,78,15987995,16497935,509941,1011
C7orf10,ENSG00000175600,ENST00000309930,35,42,40174575,40900357,725783,999
DLGAP2,ENSG00000198010,ENST00000421627,29,47,1449532,1656642,207111,999
PTPRM,ENSG00000173482,ENST00000580170,48,55,7566780,8406666,839887,962
BTBD9,ENSG00000183826,ENST00000481247,51,65,38136227,38607700,471474,945
SBF2,ENSG00000133812,ENST00000256190,62,75,9800214,10315754,515541,930
CNTN4,ENSG00000144619,ENST00000397461,67,78,2280513,3099637,819125,929
WNK1,ENSG00000060237,ENST00000315939,78,82,862089,1020618,158530,912
SYN3,ENSG00000185666,ENST00000358763,39,64,32908539,33454358,545820,910
NPAS3,ENSG00000151322,ENST00000356141,48,52,33408523,34270315,861793,900
KCNH8,ENSG00000183960,ENST00000328405,55,63,19189946,19577138,387193,888
DSCAM,ENSG00000171587,ENST00000400454,45,61,41382926,42219065,836140,864
ARL15,ENSG00000185305,ENST00000504924,26,36,53180614,53606403,425790,862
ATXN1,ENSG00000124788,ENST00000244769,11,80,16299343,16761687,462345,856
PRKCE,ENSG00000171132,ENST00000306156,34,64,45878913,46415129,536217,845
MDGA2,ENSG00000139915,ENST00000426342,42,53,47308826,47812438,503613,841
LUZP2,ENSG00000187398,ENST00000336930,32,41,24518724,25102650,583927,828
