,gene_name,exon_coverage,CDS_coverage,Transcript type,transcript_id_y,Gene stable ID
0,RBMY1A1,0.159967213,0.150346747,protein_coding,ENST00000382707,ENSG00000234414
1,RBMY1A1,0.159967213,0.150346747,nonsense_mediated_decay,ENST00000361046,ENSG00000234414
2,RBMY1A1,0.159967213,0.150346747,protein_coding,ENST00000303902,ENSG00000234414
3,RBMY1A1,0.159967213,0.150346747,protein_coding,ENST00000439108,ENSG00000234414
4,DAZ2,0.1528257,0.158115978,protein_coding,ENST00000382449,ENSG00000205944
5,DAZ2,0.1528257,0.158115978,protein_coding,ENST00000382440,ENSG00000205944
6,DAZ2,0.1528257,0.158115978,protein_coding,ENST00000382433,ENSG00000205944
7,DAZ2,0.1528257,0.158115978,protein_coding,ENST00000382306,ENSG00000205944
8,DAZ2,0.1528257,0.158115978,protein_coding,ENST00000449947,ENSG00000205944
9,DAZ2,0.1528257,0.158115978,protein_coding,ENST00000382294,ENSG00000205944
10,DAZ2,0.1528257,0.158115978,protein_coding,ENST00000382424,ENSG00000205944
11,DAZ2,0.1528257,0.158115978,protein_coding,ENST00000400493,ENSG00000205944
12,DAZ2,0.1528257,0.158115978,protein_coding,ENST00000382431,ENSG00000205944
13,DAZ2,0.1528257,0.158115978,protein_coding,ENST00000382434,ENSG00000205944
14,USP17L5,0.185566403,0.185876528,protein_coding,ENST00000507227,ENSG00000227140
15,RGPD6,0.125962152,0.252902908,retained_intron,ENST00000463822,ENSG00000183054
16,RGPD6,0.125962152,0.252902908,protein_coding,ENST00000329516,ENSG00000183054
17,RGPD6,0.125962152,0.252902908,protein_coding,ENST00000437167,ENSG00000183054
18,RGPD6,0.125962152,0.252902908,nonsense_mediated_decay,ENST00000484024,ENSG00000183054
19,RGPD6,0.125962152,0.252902908,protein_coding,ENST00000330331,ENSG00000183054
20,RGPD6,0.125962152,0.252902908,retained_intron,ENST00000473101,ENSG00000183054
21,RGPD6,0.125962152,0.252902908,retained_intron,ENST00000459645,ENSG00000183054
22,RGPD6,0.125962152,0.252902908,processed_transcript,ENST00000490990,ENSG00000183054
23,RGPD6,0.125962152,0.252902908,protein_coding,ENST00000446930,ENSG00000183054
24,RGPD6,0.125962152,0.252902908,retained_intron,ENST00000480894,ENSG00000183054
25,RGPD6,0.125962152,0.252902908,protein_coding,ENST00000455695,ENSG00000183054
26,USP17L13,0.257897601,0.258090725,protein_coding,ENST00000429667,ENSG00000232399
27,USP17L13,0.257897601,0.258090725,protein_coding,ENST00000421288,ENSG00000232399
28,RBMY1J,0.289819857,0.293712809,processed_transcript,ENST00000470460,ENSG00000226941
29,RBMY1J,0.289819857,0.293712809,protein_coding,ENST00000250831,ENSG00000226941
30,RBMY1J,0.289819857,0.293712809,protein_coding,ENST00000414629,ENSG00000226941
31,RBMY1J,0.289819857,0.293712809,protein_coding,ENST00000445779,ENSG00000226941
32,TSPY8,0.219652967,0.413599387,protein_coding,ENST00000287721,ENSG00000229549
33,TSPY8,0.219652967,0.413599387,protein_coding,ENST00000383000,ENSG00000229549
34,TSPY8,0.219652967,0.413599387,processed_transcript,ENST00000477879,ENSG00000229549
35,TSPY8,0.219652967,0.413599387,processed_transcript,ENST00000436159,ENSG00000229549
36,TSPY8,0.219652967,0.413599387,protein_coding,ENST00000383005,ENSG00000229549
37,TSPY8,0.219652967,0.413599387,protein_coding,ENST00000330628,ENSG00000229549
38,TSPY8,0.219652967,0.413599387,protein_coding,ENST00000537415,ENSG00000229549
39,RP11-347C12.1,0.300979868,0.421913196,protein_coding,ENST00000520915,ENSG00000198064
40,RP11-347C12.1,0.300979868,0.421913196,nonsense_mediated_decay,ENST00000562937,ENSG00000198064
41,RP11-347C12.1,0.300979868,0.421913196,protein_coding,ENST00000568053,ENSG00000198064
42,RP11-347C12.1,0.300979868,0.421913196,nonsense_mediated_decay,ENST00000564502,ENSG00000198064
43,RP11-347C12.1,0.300979868,0.421913196,nonsense_mediated_decay,ENST00000564219,ENSG00000198064
44,RP11-347C12.1,0.300979868,0.421913196,protein_coding,ENST00000543463,ENSG00000198064
45,USP17L17,0.498541182,0.499481826,protein_coding,ENST00000511568,ENSG00000249104
46,GRAPL,0.496213725,0.599324451,protein_coding,ENST00000344415,ENSG00000189152
47,GRAPL,0.496213725,0.599324451,protein_coding,ENST00000577213,ENSG00000189152
48,GRAPL,0.496213725,0.599324451,protein_coding,ENST00000437957,ENSG00000189152
49,GRAPL,0.496213725,0.599324451,protein_coding,ENST00000574324,ENSG00000189152
50,GRAPL,0.496213725,0.599324451,nonsense_mediated_decay,ENST00000583540,ENSG00000189152
51,PRAMEF15,0.469343758,0.626783978,protein_coding,ENST00000330087,ENSG00000157358
52,RBMY1F,0.675062086,0.688588298,protein_coding,ENST00000303766,ENSG00000169800
53,RBMY1F,0.675062086,0.688588298,processed_transcript,ENST00000481858,ENSG00000169800
54,RBMY1F,0.675062086,0.688588298,protein_coding,ENST00000454978,ENSG00000169800
55,TRIM49D1,0.415259959,0.733968374,protein_coding,ENST00000530311,ENSG00000223417
56,TRIM49D1,0.415259959,0.733968374,protein_coding,ENST00000420869,ENSG00000223417
57,TSPY10,0.541834662,0.736814233,protein_coding,ENST00000428845,ENSG00000236424
58,TSPY10,0.541834662,0.736814233,protein_coding,ENST00000444056,ENSG00000236424
59,TSPY10,0.541834662,0.736814233,processed_transcript,ENST00000489397,ENSG00000236424
60,TSPY10,0.541834662,0.736814233,processed_transcript,ENST00000495839,ENSG00000236424
61,TSPY10,0.541834662,0.736814233,protein_coding,ENST00000429039,ENSG00000236424
62,DEFB130,0.799683336,0.800038401,protein_coding,ENST00000437818,ENSG00000233050
63,DEFB130,0.799683336,0.800038401,protein_coding,ENST00000400079,ENSG00000232948
64,TBC1D3G,0.911179232,0.810500498,protein_coding,ENST00000394453,ENSG00000161583
65,TBC1D3G,0.911179232,0.810500498,retained_intron,ENST00000589602,ENSG00000161583
66,TBC1D3G,0.911179232,0.810500498,protein_coding,ENST00000592614,ENSG00000161583
