,gene_name,exon_coverage,CDS_coverage,Transcript type,transcript_id_y,Gene stable ID
0,USP17L5,0.007750015,0.007761567,protein_coding,ENST00000507227,ENSG00000227140
1,USP17L13,0.242056277,0.242537464,protein_coding,ENST00000429667,ENSG00000232399
2,USP17L13,0.242056277,0.242537464,protein_coding,ENST00000421288,ENSG00000232399
3,RGPD6,0.132744304,0.283200815,retained_intron,ENST00000463822,ENSG00000183054
4,RGPD6,0.132744304,0.283200815,protein_coding,ENST00000329516,ENSG00000183054
5,RGPD6,0.132744304,0.283200815,protein_coding,ENST00000437167,ENSG00000183054
6,RGPD6,0.132744304,0.283200815,nonsense_mediated_decay,ENST00000484024,ENSG00000183054
7,RGPD6,0.132744304,0.283200815,protein_coding,ENST00000330331,ENSG00000183054
8,RGPD6,0.132744304,0.283200815,retained_intron,ENST00000473101,ENSG00000183054
9,RGPD6,0.132744304,0.283200815,retained_intron,ENST00000459645,ENSG00000183054
10,RGPD6,0.132744304,0.283200815,processed_transcript,ENST00000490990,ENSG00000183054
11,RGPD6,0.132744304,0.283200815,protein_coding,ENST00000446930,ENSG00000183054
12,RGPD6,0.132744304,0.283200815,retained_intron,ENST00000480894,ENSG00000183054
13,RGPD6,0.132744304,0.283200815,protein_coding,ENST00000455695,ENSG00000183054
14,MAGED4,1.403111819,0.665204509,processed_transcript,ENST00000471932,ENSG00000154545
15,MAGED4,1.403111819,0.665204509,processed_transcript,ENST00000459685,ENSG00000154545
16,MAGED4,1.403111819,0.665204509,protein_coding,ENST00000375626,ENSG00000154545
17,MAGED4,1.403111819,0.665204509,processed_transcript,ENST00000477634,ENSG00000154545
18,MAGED4,1.403111819,0.665204509,processed_transcript,ENST00000498483,ENSG00000154545
19,MAGED4,1.403111819,0.665204509,processed_transcript,ENST00000467526,ENSG00000154545
20,MAGED4,1.403111819,0.665204509,processed_transcript,ENST00000474812,ENSG00000154545
21,MAGED4,1.403111819,0.665204509,processed_transcript,ENST00000479281,ENSG00000154545
22,MAGED4,1.403111819,0.665204509,processed_transcript,ENST00000497416,ENSG00000154545
23,MAGED4,1.403111819,0.665204509,processed_transcript,ENST00000497348,ENSG00000154545
24,MAGED4,1.403111819,0.665204509,protein_coding,ENST00000416960,ENSG00000154545
25,NPIPB5,0.636097813,0.718096288,processed_transcript,ENST00000415654,ENSG00000243716
26,NPIPB5,0.636097813,0.718096288,protein_coding,ENST00000415833,ENSG00000243716
27,NPIPB5,0.636097813,0.718096288,processed_transcript,ENST00000546168,ENSG00000243716
28,NPIPB5,0.636097813,0.718096288,protein_coding,ENST00000543407,ENSG00000243716
29,NPIPB5,0.636097813,0.718096288,protein_coding,ENST00000356156,ENSG00000243716
30,NPIPB5,0.636097813,0.718096288,protein_coding,ENST00000541154,ENSG00000243716
31,NPIPB5,0.636097813,0.718096288,nonsense_mediated_decay,ENST00000545375,ENSG00000243716
32,NPIPB5,0.636097813,0.718096288,protein_coding,ENST00000536620,ENSG00000243716
33,NPIPB5,0.636097813,0.718096288,nonsense_mediated_decay,ENST00000544308,ENSG00000243716
34,NPIPB5,0.636097813,0.718096288,processed_transcript,ENST00000538509,ENSG00000243716
35,NPIPB5,0.636097813,0.718096288,nonsense_mediated_decay,ENST00000521555,ENSG00000243716
36,NPIPB5,0.636097813,0.718096288,protein_coding,ENST00000538606,ENSG00000243716
37,NPIPB5,0.636097813,0.718096288,nonsense_mediated_decay,ENST00000542518,ENSG00000243716
38,NPIPB5,0.636097813,0.718096288,processed_transcript,ENST00000540704,ENSG00000243716
39,NPIPB5,0.636097813,0.718096288,protein_coding,ENST00000517539,ENSG00000243716
40,NPIPB5,0.636097813,0.718096288,nonsense_mediated_decay,ENST00000541664,ENSG00000243716
41,NPIPB5,0.636097813,0.718096288,protein_coding,ENST00000528249,ENSG00000243716
42,NPIPB5,0.636097813,0.718096288,nonsense_mediated_decay,ENST00000517347,ENSG00000243716
43,NPIPB5,0.636097813,0.718096288,retained_intron,ENST00000539929,ENSG00000243716
44,NPIPB5,0.636097813,0.718096288,retained_intron,ENST00000543997,ENSG00000243716
45,NPIPB5,0.636097813,0.718096288,retained_intron,ENST00000538590,ENSG00000243716
46,NPIPB5,0.636097813,0.718096288,nonsense_mediated_decay,ENST00000539604,ENSG00000243716
47,NPIPB5,0.636097813,0.718096288,retained_intron,ENST00000442450,ENSG00000243716
48,NPIPB5,0.636097813,0.718096288,protein_coding,ENST00000424340,ENSG00000243716
49,PRAMEF15,0.538491818,0.719829671,protein_coding,ENST00000330087,ENSG00000157358
50,AMY1B,0.64861588,0.772808982,protein_coding,ENST00000370080,ENSG00000174876
51,AMY1B,0.64861588,0.772808982,processed_transcript,ENST00000464691,ENSG00000174876
52,AMY1B,0.64861588,0.772808982,protein_coding,ENST00000446703,ENSG00000174876
53,AMY1B,0.64861588,0.772808982,protein_coding,ENST00000425410,ENSG00000174876
54,AMY1B,0.64861588,0.772808982,protein_coding,ENST00000330330,ENSG00000174876
55,DEFB105B,0.835011114,0.843456066,protein_coding,ENST00000335510,ENSG00000186599
56,PRAMEF3,1.105203829,0.872820163,protein_coding,ENST00000353410,ENSG00000204503
57,PRAMEF3,1.105203829,0.872820163,protein_coding,ENST00000376173,ENSG00000204503
58,EIF3CL,0.94528727,0.947494389,protein_coding,ENST00000380876,ENSG00000205609
59,EIF3CL,0.94528727,0.947494389,protein_coding,ENST00000398944,ENSG00000205609
60,EIF3CL,0.94528727,0.947494389,protein_coding,ENST00000398943,ENSG00000205609
61,SPACA5B,0.991882261,0.978381781,protein_coding,ENST00000304270,ENSG00000171478
62,SPACA5B,0.991882261,0.978381781,protein_coding,ENST00000594756,ENSG00000268393
63,GRAPL,1.32768519,1.053895197,protein_coding,ENST00000344415,ENSG00000189152
